problem,p,m,q,n,lb,lb_ref,ub,ub_ref
full,3,1,3,5,12,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",12,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,3,1,3,6,12,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Griesmer bound (derived); https://epubs.siam.org/doi/10.1137/0219029",16,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,3,1,3,7,15,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Griesmer bound (derived); https://epubs.siam.org/doi/10.1137/0219029",19,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,3,1,3,8,17,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Griesmer bound (derived); https://epubs.siam.org/doi/10.1137/0219029",24,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,3,1,3,9,20,"Bshouty–Kaminski (1990), proof of Theorem 1: M_q(d)>=3d+1-i_q(d); https://epubs.siam.org/doi/10.1137/0219029",28,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,3,1,3,10,23,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Griesmer bound (derived); https://epubs.siam.org/doi/10.1137/0219029",31,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,3,1,3,11,25,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Griesmer bound (derived); https://epubs.siam.org/doi/10.1137/0219029",36,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,2,2,4,1,1,trivial scalar multiplication,1,trivial scalar multiplication
full,2,2,4,2,3,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",3,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,2,2,4,3,5,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",5,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,2,2,4,4,8,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",8,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,2,2,4,5,11,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",11,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,2,2,4,6,14,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",14,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,2,2,4,7,14,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Griesmer bound (derived); https://epubs.siam.org/doi/10.1137/0219029",17,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,2,2,4,8,17,"Bshouty–Kaminski (1990), proof of Theorem 1: M_q(d)>=3d+1-i_q(d); https://epubs.siam.org/doi/10.1137/0219029",20,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,2,2,4,9,19,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Griesmer bound (derived); https://epubs.siam.org/doi/10.1137/0219029",23,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,2,2,4,10,22,"Bshouty–Kaminski (1990), proof of Theorem 1: M_q(d)>=3d+1-i_q(d); https://epubs.siam.org/doi/10.1137/0219029",27,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,2,2,4,11,24,"Bshouty–Kaminski (1990), proof of Theorem 1: M_q(d)>=3d+1-i_q(d); https://epubs.siam.org/doi/10.1137/0219029",30,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,5,1,5,1,1,trivial scalar multiplication,1,trivial scalar multiplication
full,5,1,5,2,3,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",3,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,5,1,5,3,5,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",5,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,5,1,5,4,8,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",8,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,5,1,5,5,11,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",11,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,5,1,5,6,14,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",14,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,5,1,5,7,17,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",17,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,5,1,5,8,16,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Griesmer bound (derived); https://epubs.siam.org/doi/10.1137/0219029",20,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,5,1,5,9,19,"Bshouty–Kaminski (1990), proof of Theorem 1: M_q(d)>=3d+1-i_q(d); https://epubs.siam.org/doi/10.1137/0219029",23,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,5,1,5,10,21,"Bshouty–Kaminski (1990), proof of Theorem 1: M_q(d)>=3d+1-i_q(d); https://epubs.siam.org/doi/10.1137/0219029",26,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,5,1,5,11,24,"Bshouty–Kaminski (1990), proof of Theorem 1: M_q(d)>=3d+1-i_q(d); https://epubs.siam.org/doi/10.1137/0219029",29,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,7,1,7,1,1,trivial scalar multiplication,1,trivial scalar multiplication
full,7,1,7,2,3,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",3,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,7,1,7,3,5,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",5,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,7,1,7,4,7,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",7,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,7,1,7,5,10,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",10,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,7,1,7,6,13,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",13,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,7,1,7,7,16,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",16,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,7,1,7,8,19,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",19,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,7,1,7,9,22,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",22,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,7,1,7,10,20,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Griesmer bound (derived); https://epubs.siam.org/doi/10.1137/0219029",25,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,7,1,7,11,23,"Bshouty–Kaminski (1990), proof of Theorem 1: M_q(d)>=3d+1-i_q(d); https://epubs.siam.org/doi/10.1137/0219029",28,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,2,3,8,1,1,trivial scalar multiplication,1,trivial scalar multiplication
full,2,3,8,2,3,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",3,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,2,3,8,3,5,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",5,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,2,3,8,4,7,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",7,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,2,3,8,5,9,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",9,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,2,3,8,6,12,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",12,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,2,3,8,7,15,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",15,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,2,3,8,8,18,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",18,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,2,3,8,9,21,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",21,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,2,3,8,10,24,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",24,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,2,3,8,11,22,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Griesmer bound (derived); https://epubs.siam.org/doi/10.1137/0219029",27,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,3,2,9,1,1,trivial scalar multiplication,1,trivial scalar multiplication
full,3,2,9,2,3,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",3,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,3,2,9,3,5,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",5,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,3,2,9,4,7,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",7,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,3,2,9,5,9,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",9,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,3,2,9,6,12,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",12,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,3,2,9,7,15,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",15,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,3,2,9,8,18,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",18,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,3,2,9,9,21,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",21,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,3,2,9,10,24,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",24,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,3,2,9,11,27,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",27,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,11,1,11,1,1,trivial scalar multiplication,1,trivial scalar multiplication
full,11,1,11,2,3,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",3,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,11,1,11,3,5,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",5,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,11,1,11,4,7,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",7,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,11,1,11,5,9,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",9,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,11,1,11,6,11,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",11,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,11,1,11,7,14,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",14,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,11,1,11,8,17,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",17,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,11,1,11,9,20,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",20,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,11,1,11,10,23,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",23,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,11,1,11,11,26,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",26,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,13,1,13,1,1,trivial scalar multiplication,1,trivial scalar multiplication
full,13,1,13,2,3,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",3,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,13,1,13,3,5,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",5,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,13,1,13,4,7,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",7,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,13,1,13,5,9,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",9,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,13,1,13,6,11,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",11,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,13,1,13,7,13,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",13,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,13,1,13,8,16,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",16,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,13,1,13,9,19,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",19,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,13,1,13,10,22,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",22,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,13,1,13,11,25,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",25,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,2,4,16,1,1,trivial scalar multiplication,1,trivial scalar multiplication
